"scientific_name","midpoint_cc","releveCode"
"Amphicarpaea bracteata",11,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Amphicarpaea bracteata",3,"SOUTHERN RICH CONIFER SWAMP"
"Amphicarpaea bracteata",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Amphicarpaea bracteata",3,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Anaphalis margaritacea",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Andropogon gerardii",7,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Andropogon gerardii",9,"Dry Barrens Prairie Southern"
"Andropogon gerardii",11,"Dry Sand Gravel Prairie Southern"
"Andropogon gerardii",5,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Andropogon gerardii",10,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Andropogon gerardii",30,"SOUTHERN MESIC PRAIRIE"
"Andropogon gerardii",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Andropogon gerardii",27,"SOUTHERN WET PRAIRIE"
"Anemone acutiloba",4,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Anemone acutiloba",7,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Anemone acutiloba",4,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Anemone acutiloba",3,"SOUTHERN WET ASH SWAMP"
"Anemone americana",3,"SOUTHERN DRY-MESIC OAK FOREST"
"Anemone americana",38,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Anemone americana",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Anemone canadensis",3,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Anemone canadensis",3,"SOUTHERN MESIC PRAIRIE"
"Anemone canadensis",2,"SOUTHERN WET PRAIRIE"
"Anemone canadensis",5,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Anemone cylindrica",2,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Anemone cylindrica",3,"Dry Barrens Prairie Southern"
"Anemone cylindrica",3,"Dry Sand Gravel Prairie Southern"
"Anemone cylindrica",2,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Anemone cylindrica",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Anemone cylindrica",2,"SOUTHERN MESIC PRAIRIE"
"Anemone patens",5,"Dry Barrens Prairie Southern"
"Anemone patens",4,"Dry Sand Gravel Prairie Southern"
"Anemone patens",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Anemone quinquefolia",3,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Anemone quinquefolia",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
