"","scientific_name","common_name","x3","physiognamy","mn_nativity","mnwi","rarity_status","id","cc","cc_range","x12","midpoint_cc","p","p_c","releveCode","releveyear","releveSite"
"27","Erigeron annuus","annual fleabane",0,"H","Native","FAC-","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"28","Galium triflorum",NA,4,"H","Native","FACU+","0",NA,1,">1-5%",3,3,0.019047619047619,0.0761904761904762,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"29","Geranium maculatum","wild geranium",4,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.019047619047619,0.0761904761904762,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"30","Geum canadense","white avens",2,"H","Native","FAC","0",NA,1,">1-5%",3,3,0.019047619047619,0.0380952380952381,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"31","Geum macrophyllum",NA,6,"H","Native","FACW","0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.019047619047619,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"32","Hackelia virginiana","Virginia stickseed",1,"H","Native","FAC-","0",NA,2,">5-25%",15,15,0.0952380952380952,0.0952380952380952,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"33","Hypericum ascyron","great St. John's-wort",6,"H","Native","[FAC+]","0",NA,2,">5-25%",15,15,0.0952380952380952,0.571428571428571,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"34","Leonurus cardiaca","common motherwort",0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"35","Maianthemum racemosum",NA,5,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.019047619047619,0.0952380952380952,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"36","Monarda fistulosa","wild bergamot",3,"H","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.00952380952380952,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"37","Nepeta cataria","catnip",0,"H","Introduced","FAC-","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"38","Oenothera biennis","common evening primrose",1,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.019047619047619,0.019047619047619,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"39","Osmorhiza longistylis","aniseroot",4,"H","Native","FACU-","0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.0126984126984127,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"40","Oxalis stricta","yellow wood sorrel",0,"H","Native","[FACU]","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"41","Plantago rugelii","Rugel's plantain",0,"H","Native","[FAC]","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"42","Poa pratensis","Kentucky bluegrass",0,"G","Introduced","FAC","0",NA,1,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"43","Pycnanthemum virginianum","Virginia mountain mint",6,"H","Native","FACW+","0",NA,NA,">1-5%",3,3,0.019047619047619,0.114285714285714,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"44","Ranunculus abortivus","kidney-leaved buttercup",1,"H","Native","FACW-","0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.00317460317460317,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"45","Rudbeckia hirta","black-eyed susan",4,"H","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.0126984126984127,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"46","Rumex crispus","curly dock",0,"H","Introduced","[FAC+]","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"47","Sanicula canadensis","Canadian black snakeroot",5,"H","Native","FACU+","0",NA,NA,">1-5%",3,3,0.019047619047619,0.0952380952380952,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"48","Solanum dulcamara","bittersweet nightshade",0,"H","Introduced","[FAC]","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"49","Solanum ptychanthum","black nightshade",1,"H","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.00317460317460317,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"50","Solidago altissima","late goldenrod",1,"H","Native","FACU","0",NA,2,">5-25%",15,15,0.0952380952380952,0.0952380952380952,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"51","Sonchus arvensis","field sow thistle",0,"H","Introduced","FAC-","0",NA,NA,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"52","Symphyotrichum ontarionis",NA,6,"H","Native","FAC","0",NA,2,">5-25%",15,15,0.0952380952380952,0.571428571428571,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"53","Symphyotrichum pilosum","awl aster",1,"H","Native","FACU","W",NA,NA,">1-5%",3,3,0.019047619047619,0.019047619047619,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"54","Taraxacum officinale","common dandelion",0,"H","Introduced","FACU","0",NA,1,">1-5%",3,3,0.019047619047619,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"55","Verbena urticifolia","white vervain",6,"H","Native","FAC+","0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.019047619047619,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"56","Viola sp.",NA,4,"H","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00317460317460317,0.0126984126984127,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"57","Elymus villosus","downy wild rye",5,"G","Native","FACU","0",NA,2,">5-25%",15,15,0.272727272727273,1.36363636363636,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"58","Phalaris arundinacea","reed canary grass",0,"G","Introduced","FACW+","0",NA,2,">5-25%",15,15,0.272727272727273,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"59","Elymus hystrix","bottlebrush grass",6,"G","Native","FACU","0",NA,NA,">1-5%",3,3,0.0545454545454545,0.327272727272727,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"60","Carex sp. 2",NA,NA,"G","Native",NA,NA,NA,NA,">1-5%",3,3,0.0545454545454545,0.163636363636364,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"61","Carex sp. 3",NA,NA,"G","Native",NA,NA,NA,NA,">1-5%",3,3,0.0545454545454545,0.163636363636364,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"62","Carex blanda","charming sedge",2,"G","Native","FAC","0",NA,NA,">1-5%",3,3,0.0545454545454545,0.109090909090909,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"63","Digitaria ischaemum","smooth crabgrass",0,"G","Introduced","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00909090909090909,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"64","Elymus virginicus","Virginia wildrye",4,"G","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0545454545454545,0.218181818181818,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"65","Carex cristatella","crested sedge",3,"G","Native","FACW+","0",NA,NA,">0-1%",0.5,0.5,0.00909090909090909,0.0272727272727273,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"66","Setaria pumila",NA,0,"G","Introduced","FAC","0",NA,1,">1-5%",3,3,0.0545454545454545,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"67","Carex echinodes","marsh straw sedge",4,"G","Native","FACW","0",NA,NA,">1-5%",3,3,0.0545454545454545,0.218181818181818,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"68","Eriochloa villosa","hairy cupgrass",0,"G","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0545454545454545,0,"LBRP  Rel 32025","2025","LBRP  Rel 3"
"69","Acer negundo","box elder",1,"D","Native","FACW-","0",NA,2,">5-25%",15,15,0.27027027027027,0.27027027027027,"LBRP Rel 62025","2025","LBRP Rel 6"
"70","Acer saccharinum","silver maple",3,"D","Native","FACW","0",NA,2,">5-25%",15,15,0.27027027027027,0.810810810810811,"LBRP Rel 62025","2025","LBRP Rel 6"
"71","Celtis occidentalis","hackberry",3,"D","Native","[FAC-]","0",NA,2,">5-25%",15,15,0.27027027027027,0.810810810810811,"LBRP Rel 62025","2025","LBRP Rel 6"
"72","Fraxinus pennsylvanica","green ash",2,"D","Native","FACW","0",NA,NA,">0-1%",0.5,0.5,0.00900900900900901,0.018018018018018,"LBRP Rel 62025","2025","LBRP Rel 6"
"73","Parthenocissus sp.",NA,2,"C","Native",NA,"0",NA,NA,">1-5%",3,3,0.0540540540540541,0.108108108108108,"LBRP Rel 62025","2025","LBRP Rel 6"
"74","Rubus idaeus",NA,3,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.0540540540540541,0.162162162162162,"LBRP Rel 62025","2025","LBRP Rel 6"
"75","Ulmus rubra","red elm",4,"D","Native","FAC","0",NA,NA,">0-1%",0.5,0.5,0.00900900900900901,0.036036036036036,"LBRP Rel 62025","2025","LBRP Rel 6"
"76","Ulmus sp.",NA,NA,NA,"Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00900900900900901,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"77","Vitis riparia","wild grape",2,"C","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0540540540540541,0.108108108108108,"LBRP Rel 62025","2025","LBRP Rel 6"
"78","Rudbeckia laciniata","tall coneflower",6,"H","Native","FACW","0",NA,2,">5-25%",15,15,0.0857142857142857,0.514285714285714,"LBRP Rel 62025","2025","LBRP Rel 6"
"79","Laportea canadensis","woodnettle",3,"H","Native","FACW","0",NA,2,">5-25%",15,15,0.0857142857142857,0.257142857142857,"LBRP Rel 62025","2025","LBRP Rel 6"
"80","Rumex fueginus","golden dock",1,"H","Native","FACW+","0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0.00285714285714286,"LBRP Rel 62025","2025","LBRP Rel 6"
"81","Cryptotaenia canadensis","honewort",3,"H","Native","FAC","0",NA,2,">5-25%",15,15,0.0857142857142857,0.257142857142857,"LBRP Rel 62025","2025","LBRP Rel 6"
"82","Bidens sp.",NA,1,"H","Native",NA,"0",NA,2,">5-25%",15,15,0.0857142857142857,0.0857142857142857,"LBRP Rel 62025","2025","LBRP Rel 6"
"83","Conyza canadensis","horseweed",0,"H","Native","[FAC-]","0",NA,1,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"84","Symphyotrichum ontarionis",NA,6,"H","Native","FAC","0",NA,1,">1-5%",3,3,0.0171428571428571,0.102857142857143,"LBRP Rel 62025","2025","LBRP Rel 6"
"85","Alliaria petiolata","garlic mustard",0,"H","Introduced","FAC","0",NA,1,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"86","Viola sp.",NA,4,"H","Native",NA,"0",NA,1,">1-5%",3,3,0.0171428571428571,0.0685714285714286,"LBRP Rel 62025","2025","LBRP Rel 6"
"87","Acalypha rhomboidea","three-seeded mercury",0,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"88","Rorippa palustris","Icelandic yellow cress",4,"H","Native","OBL","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.0685714285714286,"LBRP Rel 62025","2025","LBRP Rel 6"
"89","Verbena hastata","blue vervain",6,"H","Native","FACW+","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.102857142857143,"LBRP Rel 62025","2025","LBRP Rel 6"
"90","Chenopodium album","white lamb's quarters",0,"H","Introduced","FAC-","0",NA,1,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"91","Potentilla norvegica","rough cinquefoil",1,"H","Native","[FAC]","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.0171428571428571,"LBRP Rel 62025","2025","LBRP Rel 6"
"92","Solidago gigantea","giant goldenrod",3,"H","Native","FACW","0",NA,1,">1-5%",3,3,0.0171428571428571,0.0514285714285714,"LBRP Rel 62025","2025","LBRP Rel 6"
"93","Verbena urticifolia","white vervain",6,"H","Native","FAC+","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.102857142857143,"LBRP Rel 62025","2025","LBRP Rel 6"
"94","Persicaria pensylvanica","Pennsylvania smartweed",1,"H","Native","FACW+","0",NA,1,">1-5%",3,3,0.0171428571428571,0.0171428571428571,"LBRP Rel 62025","2025","LBRP Rel 6"
"95","Menispermum canadense","Canada moonseed",4,"C","Native","FAC*","0",NA,1,">1-5%",3,3,0.0171428571428571,0.0685714285714286,"LBRP Rel 62025","2025","LBRP Rel 6"
"96","Hackelia virginiana","Virginia stickseed",1,"H","Native","FAC-","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.0171428571428571,"LBRP Rel 62025","2025","LBRP Rel 6"
"97","Helenium autumnale","autumn sneezeweed",4,"H","Native","[FACW+]","0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0.0114285714285714,"LBRP Rel 62025","2025","LBRP Rel 6"
"98","Campanulastrum americanum","tall bellflower",4,"H","Native","FAC","0",NA,1,">1-5%",3,3,0.0171428571428571,0.0685714285714286,"LBRP Rel 62025","2025","LBRP Rel 6"
"99","Sicyos angulatus","bur cucumber",2,"H","Native","FACW-","0",NA,2,">5-25%",15,15,0.0857142857142857,0.171428571428571,"LBRP Rel 62025","2025","LBRP Rel 6"
"100","Arctium minus","common burdock",0,"H","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"101","Fallopia sp.",NA,NA,NA,NA,NA,"0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"102","Hesperis matronalis","dame's rocket",0,"H","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"103","Myosoton aquaticum","giant chickweed",0,"H","Introduced","FAC+","0",NA,1,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"104","Boehmeria cylindrica","false nettle",5,"H","Native","OBL","0",NA,1,">1-5%",3,3,0.0171428571428571,0.0857142857142857,"LBRP Rel 62025","2025","LBRP Rel 6"
"105","Ranunculus pensylvanicus","bristly buttercup",5,"H","Native","OBL","0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0.0142857142857143,"LBRP Rel 62025","2025","LBRP Rel 6"
"106","Urtica dioica",NA,1,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.0171428571428571,"LBRP Rel 62025","2025","LBRP Rel 6"
"107","Ambrosia artemisiifolia","common ragweed",0,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"108","Melilotus sp.",NA,0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"109","Ranunculus hispidus","hispid buttercup",6,"H","Native","FAC","0",NA,1,">1-5%",3,3,0.0171428571428571,0.102857142857143,"LBRP Rel 62025","2025","LBRP Rel 6"
"110","Xanthium strumarium","cocklebur",0,"H","Native","FAC","0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"111","Cirsium arvense","Canada thistle",0,"H","Introduced","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"112","Circaea lutetiana","common enchanter's nightshade",2,"H","Native","[FACU]","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.0342857142857143,"LBRP Rel 62025","2025","LBRP Rel 6"
"113","Ambrosia trifida","great ragweed",0,"H","Native","[FAC+]","0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"114","Cuscuta sp.",NA,NA,NA,"Native",NA,"0",NA,1,">1-5%",3,3,0.0171428571428571,0.0514285714285714,"LBRP Rel 62025","2025","LBRP Rel 6"
"115","Impatiens pallida","pale touch-me-not",5,"H","Native","FACW","0",NA,1,">1-5%",3,3,0.0171428571428571,0.0857142857142857,"LBRP Rel 62025","2025","LBRP Rel 6"
"116","Asclepias incarnata",NA,5,"H","Native","OBL","0",NA,NA,">1-5%",3,3,0.0171428571428571,0.0857142857142857,"LBRP Rel 62025","2025","LBRP Rel 6"
"117","Brassica nigra","black mustard",0,"H","Introduced",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"118","Amaranthus sp.",NA,NA,NA,NA,NA,"0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"119","Lysimachia nummularia","moneywort",0,"H","Introduced","FACW+","0",NA,NA,">1-5%",3,3,0.0171428571428571,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"120","Sinapis arvensis","wild mustard",0,"H","Introduced",NA,"0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"121","Erigeron annuus","annual fleabane",0,"H","Native","FAC-","0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"122","Asclepias syriaca","common milkweed",1,"H","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00285714285714286,0.00285714285714286,"LBRP Rel 62025","2025","LBRP Rel 6"
"123","Phalaris arundinacea","reed canary grass",0,"G","Introduced","FACW+","0",NA,2,">5-25%",15,15,0.234375,0,"LBRP Rel 62025","2025","LBRP Rel 6"
"124","Elymus virginicus","Virginia wildrye",4,"G","Native","FACW-","0",NA,1,">1-5%",3,3,0.046875,0.1875,"LBRP Rel 62025","2025","LBRP Rel 6"
"125","Leersia virginica","white grass",5,"G","Native","FACW","0",NA,2,">5-25%",15,15,0.234375,1.171875,"LBRP Rel 62025","2025","LBRP Rel 6"
"126","Carex grisea","ambiguous sedge",4,"G","Native","FAC","0",NA,NA,">1-5%",3,3,0.046875,0.1875,"LBRP Rel 62025","2025","LBRP Rel 6"
"127","Carex blanda","charming sedge",2,"G","Native","FAC","0",NA,NA,">1-5%",3,3,0.046875,0.09375,"LBRP Rel 62025","2025","LBRP Rel 6"
"128","Carex grayi","Gray's sedge",8,"G","Native","FACW+","SC",NA,1,">1-5%",3,3,0.046875,0.375,"LBRP Rel 62025","2025","LBRP Rel 6"
"129","Muhlenbergia frondosa","swamp muhly grass",3,"G","Native","FACW","0",NA,NA,">1-5%",3,3,0.046875,0.140625,"LBRP Rel 62025","2025","LBRP Rel 6"
"130","Elymus wiegandii","Weigand's wild rye",8,"G","Native","FAC","0",NA,NA,">1-5%",3,3,0.046875,0.375,"LBRP Rel 62025","2025","LBRP Rel 6"
"131","Carex stipata",NA,2,"G","Native","OBL","0",NA,NA,">0-1%",0.5,0.5,0.0078125,0.015625,"LBRP Rel 62025","2025","LBRP Rel 6"
"132","Elymus canadensis",NA,3,"G","Native","FAC-","0",NA,2,">5-25%",15,15,0.234375,0.703125,"LBRP Rel 62025","2025","LBRP Rel 6"
"133","Festuca subverticillata","nodding fescue",6,"G","Native","[FACU+]","0",NA,NA,">0-1%",0.5,0.5,0.0078125,0.046875,"LBRP Rel 62025","2025","LBRP Rel 6"
"134","Celtis occidentalis","hackberry",3,"D","Native","[FAC-]","0",NA,3,">25-50%",37.5,37.5,0.304878048780488,0.914634146341463,"LBRP Rel 72025","2025","LBRP Rel 7"
"135","Exotic honeysuckle spp.",NA,NA,NA,NA,NA,NA,NA,2,">5-25%",15,15,0.121951219512195,NA,"LBRP Rel 72025","2025","LBRP Rel 7"
"136","Fraxinus nigra","black ash",6,"D","Native","FACW+","0",NA,2,">5-25%",15,15,0.121951219512195,0.731707317073171,"LBRP Rel 72025","2025","LBRP Rel 7"
"137","Juglans nigra","black walnut",4,"D","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.0040650406504065,0.016260162601626,"LBRP Rel 72025","2025","LBRP Rel 7"
"138","Juniperus virginiana",NA,3,"E","Native","FACU","0",NA,NA,">1-5%",3,3,0.024390243902439,0.0731707317073171,"LBRP Rel 72025","2025","LBRP Rel 7"
"139","Lonicera reticulata","grape honeysuckle",6,"C","Native",NA,"0",NA,NA,">0-1%",0.5,0.5,0.0040650406504065,0.024390243902439,"LBRP Rel 72025","2025","LBRP Rel 7"
"140","Morus alba","white mulberry",0,"D","Introduced","FAC","0",NA,NA,">1-5%",3,3,0.024390243902439,0,"LBRP Rel 72025","2025","LBRP Rel 7"
"141","Populus deltoides",NA,2,"D","Native","FAC","0",NA,NA,">1-5%",3,3,0.024390243902439,0.0487804878048781,"LBRP Rel 72025","2025","LBRP Rel 7"
"142","Prunus serotina","black cherry",4,"D","Native","[FACU]","0",NA,NA,">1-5%",3,3,0.024390243902439,0.0975609756097561,"LBRP Rel 72025","2025","LBRP Rel 7"
"143","Prunus virginiana","chokecherry",3,"D","Native","[FAC-]","0",NA,2,">5-25%",15,15,0.121951219512195,0.365853658536585,"LBRP Rel 72025","2025","LBRP Rel 7"
"144","Rhamnus cathartica","common buckthorn",0,"D","Introduced","FACU","0",NA,2,">5-25%",15,15,0.121951219512195,0,"LBRP Rel 72025","2025","LBRP Rel 7"
"145","Ribes sp.",NA,3,"D","Native",NA,"0",NA,NA,">1-5%",3,3,0.024390243902439,0.0731707317073171,"LBRP Rel 72025","2025","LBRP Rel 7"
"146","Rubus occidentalis","black raspberry",2,"D","Native",NA,"0",NA,NA,">1-5%",3,3,0.024390243902439,0.0487804878048781,"LBRP Rel 72025","2025","LBRP Rel 7"
"147","Ulmus americana","American elm",3,"D","Native","FACW-","0",NA,NA,">0-1%",0.5,0.5,0.0040650406504065,0.0121951219512195,"LBRP Rel 72025","2025","LBRP Rel 7"
"148","Vitis riparia","wild grape",2,"C","Native","FACW-","0",NA,NA,">1-5%",3,3,0.024390243902439,0.0487804878048781,"LBRP Rel 72025","2025","LBRP Rel 7"
"149","Zanthoxylum americanum","prickly ash",3,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.024390243902439,0.0731707317073171,"LBRP Rel 72025","2025","LBRP Rel 7"
"150","Physalis longifolia",NA,NA,NA,NA,NA,NA,NA,NA,">0-1%",0.5,0.5,0.0053475935828877,NA,"LBRP Rel 72025","2025","LBRP Rel 7"
